startCountry,endCountry,startTime,hasSpaceAvailable


Espanja,Suomi,10.2.2022,false
Espanja,Suomi,25.2.2022,false
Espanja,Suomi,12.3.2022,true
Espanja,Suomi,25.3.2022,false
Espanja,Suomi,11.4.2022,true
Espanja,Suomi,12.5.2022,true
Espanja,Suomi,10.6.2022,true



Suomi,Espanja,15.2.2022,false
Suomi,Espanja,2.3.2022,false
Suomi,Espanja,18.3.2022,true
Suomi,Espanja,31.3.2022,false
Suomi,Espanja,17.4.2022,true
Suomi,Espanja,18.5.2022,true
Suomi,Espanja,17.6.2022,true
